2023-02-11T17:47:59.179290-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:47
2023-02-11T17:47:59.182289-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:49
2023-02-11T17:47:59.183287-0300 | INFO | Auth models configured | models.py:56
2023-02-11T17:47:59.189286-0300 | INFO | Auth configured | views.py:13
2023-02-11T17:47:59.193286-0300 | INFO | Catalog configured | views.py:12
2023-02-11T17:47:59.193286-0300 | INFO | App started | main.py:32
2023-02-11T17:47:59.424287-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:47
2023-02-11T17:47:59.425292-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:49
2023-02-11T17:47:59.425292-0300 | INFO | Auth models configured | models.py:56
2023-02-11T17:47:59.429292-0300 | INFO | Auth configured | views.py:13
2023-02-11T17:47:59.432285-0300 | INFO | Catalog configured | views.py:12
2023-02-11T17:47:59.432285-0300 | INFO | App started | main.py:32
2023-02-11T17:47:59.870287-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:47
2023-02-11T17:47:59.870287-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:49
2023-02-11T17:47:59.870287-0300 | INFO | Auth models configured | models.py:56
2023-02-11T17:47:59.876293-0300 | INFO | Auth configured | views.py:13
2023-02-11T17:47:59.879286-0300 | INFO | Catalog configured | views.py:12
2023-02-11T17:47:59.879286-0300 | INFO | App started | main.py:32
2023-02-11T17:48:00.350285-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:47
2023-02-11T17:48:00.350285-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:49
2023-02-11T17:48:00.350285-0300 | INFO | Auth models configured | models.py:56
2023-02-11T17:48:00.355287-0300 | INFO | Auth configured | views.py:13
2023-02-11T17:48:00.357285-0300 | INFO | Catalog configured | views.py:12
2023-02-11T17:48:00.358284-0300 | INFO | App started | main.py:32
2023-02-11T17:48:00.609289-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:47
2023-02-11T17:48:00.609289-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:49
2023-02-11T17:48:00.609289-0300 | INFO | Auth models configured | models.py:56
2023-02-11T17:48:00.617288-0300 | INFO | Auth configured | views.py:13
2023-02-11T17:48:00.622317-0300 | INFO | Catalog configured | views.py:12
2023-02-11T17:48:00.622317-0300 | INFO | App started | main.py:32
2023-02-11T17:48:00.782287-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:47
2023-02-11T17:48:00.782287-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:49
2023-02-11T17:48:00.783287-0300 | INFO | Auth models configured | models.py:56
2023-02-11T17:48:00.787285-0300 | INFO | Auth configured | views.py:13
2023-02-11T17:48:00.789286-0300 | INFO | Catalog configured | views.py:12
2023-02-11T17:48:00.789286-0300 | INFO | App started | main.py:32
2023-02-11T17:48:00.923292-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:47
2023-02-11T17:48:00.924284-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:49
2023-02-11T17:48:00.924284-0300 | INFO | Auth models configured | models.py:56
2023-02-11T17:48:00.930284-0300 | INFO | Auth configured | views.py:13
2023-02-11T17:48:00.934286-0300 | INFO | Catalog configured | views.py:12
2023-02-11T17:48:00.934286-0300 | INFO | App started | main.py:32
2023-02-11T17:48:01.097287-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:47
2023-02-11T17:48:01.097287-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:49
2023-02-11T17:48:01.097287-0300 | INFO | Auth models configured | models.py:56
2023-02-11T17:48:01.101284-0300 | INFO | Auth configured | views.py:13
2023-02-11T17:48:01.102284-0300 | INFO | Catalog configured | views.py:12
2023-02-11T17:48:01.102284-0300 | INFO | App started | main.py:32
2023-02-11T17:48:01.234285-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:47
2023-02-11T17:48:01.234285-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:49
2023-02-11T17:48:01.234285-0300 | INFO | Auth models configured | models.py:56
2023-02-11T17:48:01.238320-0300 | INFO | Auth configured | views.py:13
2023-02-11T17:48:01.241314-0300 | INFO | Catalog configured | views.py:12
2023-02-11T17:48:01.241314-0300 | INFO | App started | main.py:32
2023-02-11T17:48:01.479286-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:47
2023-02-11T17:48:01.480286-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:49
2023-02-11T17:48:01.480286-0300 | INFO | Auth models configured | models.py:56
2023-02-11T17:48:01.484285-0300 | INFO | Auth configured | views.py:13
2023-02-11T17:48:01.486286-0300 | INFO | Catalog configured | views.py:12
2023-02-11T17:48:01.486286-0300 | INFO | App started | main.py:32
2023-02-11T17:48:01.660286-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:47
2023-02-11T17:48:01.660286-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:49
2023-02-11T17:48:01.660286-0300 | INFO | Auth models configured | models.py:56
2023-02-11T17:48:01.666288-0300 | INFO | Auth configured | views.py:13
2023-02-11T17:48:01.669286-0300 | INFO | Catalog configured | views.py:12
2023-02-11T17:48:01.669286-0300 | INFO | App started | main.py:32
2023-02-11T17:48:02.111289-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:47
2023-02-11T17:48:02.111289-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:49
2023-02-11T17:48:02.111289-0300 | INFO | Auth models configured | models.py:56
2023-02-11T17:48:02.115315-0300 | INFO | Auth configured | views.py:13
2023-02-11T17:48:02.118314-0300 | INFO | Catalog configured | views.py:12
2023-02-11T17:48:02.118314-0300 | INFO | App started | main.py:32
2023-02-11T17:48:02.574291-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:47
2023-02-11T17:48:02.574291-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:49
2023-02-11T17:48:02.574291-0300 | INFO | Auth models configured | models.py:56
2023-02-11T17:48:02.582288-0300 | INFO | Auth configured | views.py:13
2023-02-11T17:48:02.584285-0300 | INFO | Catalog configured | views.py:12
2023-02-11T17:48:02.584285-0300 | INFO | App started | main.py:32
2023-02-11T17:48:02.745289-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:47
2023-02-11T17:48:02.745289-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:49
2023-02-11T17:48:02.745289-0300 | INFO | Auth models configured | models.py:56
2023-02-11T17:48:02.749293-0300 | INFO | Auth configured | views.py:13
2023-02-11T17:48:02.797288-0300 | INFO | Catalog configured | views.py:12
2023-02-11T17:48:02.798285-0300 | INFO | App started | main.py:32
2023-02-11T17:48:02.924286-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:47
2023-02-11T17:48:02.924286-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:49
2023-02-11T17:48:02.924286-0300 | INFO | Auth models configured | models.py:56
2023-02-11T17:48:02.928286-0300 | INFO | Auth configured | views.py:13
2023-02-11T17:48:02.931287-0300 | INFO | Catalog configured | views.py:12
2023-02-11T17:48:02.931287-0300 | INFO | App started | main.py:32
2023-02-11T17:48:03.359286-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:47
2023-02-11T17:48:03.359286-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:49
2023-02-11T17:48:03.360285-0300 | INFO | Auth models configured | models.py:56
2023-02-11T17:48:03.365293-0300 | INFO | Auth configured | views.py:13
2023-02-11T17:48:03.367286-0300 | INFO | Catalog configured | views.py:12
2023-02-11T17:48:03.367286-0300 | INFO | App started | main.py:32
2023-02-11T17:48:03.633288-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:47
2023-02-11T17:48:03.633288-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:49
2023-02-11T17:48:03.634286-0300 | INFO | Auth models configured | models.py:56
2023-02-11T17:48:03.638295-0300 | INFO | Auth configured | views.py:13
2023-02-11T17:48:03.642292-0300 | INFO | Catalog configured | views.py:12
2023-02-11T17:48:03.642292-0300 | INFO | App started | main.py:32
2023-02-11T17:48:03.802294-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:47
2023-02-11T17:48:03.802294-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:49
2023-02-11T17:48:03.803288-0300 | INFO | Auth models configured | models.py:56
2023-02-11T17:48:03.807285-0300 | INFO | Auth configured | views.py:13
2023-02-11T17:48:03.812288-0300 | INFO | Catalog configured | views.py:12
2023-02-11T17:48:03.812288-0300 | INFO | App started | main.py:32
2023-02-11T17:48:04.049286-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:47
2023-02-11T17:48:04.049286-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:49
2023-02-11T17:48:04.049286-0300 | INFO | Auth models configured | models.py:56
2023-02-11T17:48:04.053288-0300 | INFO | Auth configured | views.py:13
2023-02-11T17:48:04.057284-0300 | INFO | Catalog configured | views.py:12
2023-02-11T17:48:04.057284-0300 | INFO | App started | main.py:32
2023-02-11T17:48:04.302289-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:47
2023-02-11T17:48:04.302289-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:49
2023-02-11T17:48:04.302289-0300 | INFO | Auth models configured | models.py:56
2023-02-11T17:48:04.306287-0300 | INFO | Auth configured | views.py:13
2023-02-11T17:48:04.308288-0300 | INFO | Catalog configured | views.py:12
2023-02-11T17:48:04.308288-0300 | INFO | App started | main.py:32
2023-02-11T17:48:04.479285-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:47
2023-02-11T17:48:04.479285-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:49
2023-02-11T17:48:04.479285-0300 | INFO | Auth models configured | models.py:56
2023-02-11T17:48:04.486287-0300 | INFO | Auth configured | views.py:13
2023-02-11T17:48:04.489285-0300 | INFO | Catalog configured | views.py:12
2023-02-11T17:48:04.489285-0300 | INFO | App started | main.py:32
2023-02-11T17:48:04.790287-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:47
2023-02-11T17:48:04.790287-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:49
2023-02-11T17:48:04.790287-0300 | INFO | Auth models configured | models.py:56
2023-02-11T17:48:04.794290-0300 | INFO | Auth configured | views.py:13
2023-02-11T17:48:04.798285-0300 | INFO | Catalog configured | views.py:12
2023-02-11T17:48:04.798285-0300 | INFO | App started | main.py:32
2023-02-11T17:48:05.088285-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:47
2023-02-11T17:48:05.088285-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:49
2023-02-11T17:48:05.088285-0300 | INFO | Auth models configured | models.py:56
2023-02-11T17:48:05.092283-0300 | INFO | Auth configured | views.py:13
2023-02-11T17:48:05.093283-0300 | INFO | Catalog configured | views.py:12
2023-02-11T17:48:05.093283-0300 | INFO | App started | main.py:32
2023-02-11T17:48:05.324286-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:47
2023-02-11T17:48:05.325288-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:49
2023-02-11T17:48:05.325288-0300 | INFO | Auth models configured | models.py:56
2023-02-11T17:48:05.328286-0300 | INFO | Auth configured | views.py:13
2023-02-11T17:48:05.331287-0300 | INFO | Catalog configured | views.py:12
2023-02-11T17:48:05.331287-0300 | INFO | App started | main.py:32
2023-02-11T17:48:05.475318-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:47
2023-02-11T17:48:05.475318-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:49
2023-02-11T17:48:05.475318-0300 | INFO | Auth models configured | models.py:56
2023-02-11T17:48:05.479286-0300 | INFO | Auth configured | views.py:13
2023-02-11T17:48:05.481285-0300 | INFO | Catalog configured | views.py:12
2023-02-11T17:48:05.481285-0300 | INFO | App started | main.py:32
2023-02-11T17:48:05.730269-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:47
2023-02-11T17:48:05.730269-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:49
2023-02-11T17:48:05.730269-0300 | INFO | Auth models configured | models.py:56
2023-02-11T17:48:05.735273-0300 | INFO | Auth configured | views.py:13
2023-02-11T17:48:05.738271-0300 | INFO | Catalog configured | views.py:12
2023-02-11T17:48:05.738271-0300 | INFO | App started | main.py:32
2023-02-11T17:48:05.969327-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:47
2023-02-11T17:48:05.970327-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:49
2023-02-11T17:48:05.970327-0300 | INFO | Auth models configured | models.py:56
2023-02-11T17:48:05.973325-0300 | INFO | Auth configured | views.py:13
2023-02-11T17:48:05.974325-0300 | INFO | Catalog configured | views.py:12
2023-02-11T17:48:05.975324-0300 | INFO | App started | main.py:32
2023-02-11T17:48:06.122395-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:47
2023-02-11T17:48:06.122395-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:49
2023-02-11T17:48:06.122395-0300 | INFO | Auth models configured | models.py:56
2023-02-11T17:48:06.128420-0300 | INFO | Auth configured | views.py:13
2023-02-11T17:48:06.130391-0300 | INFO | Catalog configured | views.py:12
2023-02-11T17:48:06.131392-0300 | INFO | App started | main.py:32
2023-02-11T17:48:06.258391-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:47
2023-02-11T17:48:06.258391-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:49
2023-02-11T17:48:06.258391-0300 | INFO | Auth models configured | models.py:56
2023-02-11T17:48:06.261389-0300 | INFO | Auth configured | views.py:13
2023-02-11T17:48:06.264392-0300 | INFO | Catalog configured | views.py:12
2023-02-11T17:48:06.264392-0300 | INFO | App started | main.py:32
2023-02-11T17:48:06.395397-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:47
2023-02-11T17:48:06.395397-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:49
2023-02-11T17:48:06.395397-0300 | INFO | Auth models configured | models.py:56
2023-02-11T17:48:06.400398-0300 | INFO | Auth configured | views.py:13
2023-02-11T17:48:06.404400-0300 | INFO | Catalog configured | views.py:12
2023-02-11T17:48:06.404400-0300 | INFO | App started | main.py:32
2023-02-11T17:48:06.675391-0300 | DEBUG | User validname created successfully | views.py:42
2023-02-11T17:48:06.694395-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:47
2023-02-11T17:48:06.695392-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:49
2023-02-11T17:48:06.695392-0300 | INFO | Auth models configured | models.py:56
2023-02-11T17:48:06.698389-0300 | INFO | Auth configured | views.py:13
2023-02-11T17:48:06.701419-0300 | INFO | Catalog configured | views.py:12
2023-02-11T17:48:06.701419-0300 | INFO | App started | main.py:32
2023-02-11T17:48:07.221861-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:47
2023-02-11T17:48:07.221861-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:49
2023-02-11T17:48:07.221861-0300 | INFO | Auth models configured | models.py:56
2023-02-11T17:48:07.226861-0300 | INFO | Auth configured | views.py:13
2023-02-11T17:48:07.232883-0300 | INFO | Catalog configured | views.py:12
2023-02-11T17:48:07.232883-0300 | INFO | App started | main.py:32
2023-02-11T17:48:07.675863-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:47
2023-02-11T17:48:07.675863-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:49
2023-02-11T17:48:07.675863-0300 | INFO | Auth models configured | models.py:56
2023-02-11T17:48:07.679864-0300 | INFO | Auth configured | views.py:13
2023-02-11T17:48:07.681860-0300 | INFO | Catalog configured | views.py:12
2023-02-11T17:48:07.682860-0300 | INFO | App started | main.py:32
2023-02-11T17:48:08.118861-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:47
2023-02-11T17:48:08.118861-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:49
2023-02-11T17:48:08.119861-0300 | INFO | Auth models configured | models.py:56
2023-02-11T17:48:08.123862-0300 | INFO | Auth configured | views.py:13
2023-02-11T17:48:08.125860-0300 | INFO | Catalog configured | views.py:12
2023-02-11T17:48:08.125860-0300 | INFO | App started | main.py:32
2023-02-11T17:48:08.266866-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:47
2023-02-11T17:48:08.266866-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:49
2023-02-11T17:48:08.267865-0300 | INFO | Auth models configured | models.py:56
2023-02-11T17:48:08.274863-0300 | INFO | Auth configured | views.py:13
2023-02-11T17:48:08.276859-0300 | INFO | Catalog configured | views.py:12
2023-02-11T17:48:08.276859-0300 | INFO | App started | main.py:32
2023-02-11T17:50:04.768056-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:47
2023-02-11T17:50:04.768056-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:49
2023-02-11T17:50:04.768056-0300 | INFO | Auth models configured | models.py:56
2023-02-11T17:50:04.771050-0300 | INFO | Auth configured | views.py:13
2023-02-11T17:50:04.773051-0300 | INFO | Catalog configured | views.py:12
2023-02-11T17:50:04.773051-0300 | INFO | App started | main.py:32
2023-02-11T17:50:04.952022-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:47
2023-02-11T17:50:04.952022-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:49
2023-02-11T17:50:04.952022-0300 | INFO | Auth models configured | models.py:56
2023-02-11T17:50:04.955046-0300 | INFO | Auth configured | views.py:13
2023-02-11T17:50:04.957045-0300 | INFO | Catalog configured | views.py:12
2023-02-11T17:50:04.958044-0300 | INFO | App started | main.py:32
2023-02-11T17:50:05.185022-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:47
2023-02-11T17:50:05.185022-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:49
2023-02-11T17:50:05.186023-0300 | INFO | Auth models configured | models.py:56
2023-02-11T17:50:05.189020-0300 | INFO | Auth configured | views.py:13
2023-02-11T17:50:05.191020-0300 | INFO | Catalog configured | views.py:12
2023-02-11T17:50:05.191020-0300 | INFO | App started | main.py:32
2023-02-11T17:50:05.322048-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:47
2023-02-11T17:50:05.323048-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:49
2023-02-11T17:50:05.323048-0300 | INFO | Auth models configured | models.py:56
2023-02-11T17:50:05.328049-0300 | INFO | Auth configured | views.py:13
2023-02-11T17:50:05.331048-0300 | INFO | Catalog configured | views.py:12
2023-02-11T17:50:05.331048-0300 | INFO | App started | main.py:32
2023-02-11T17:50:05.469046-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:47
2023-02-11T17:50:05.469046-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:49
2023-02-11T17:50:05.469046-0300 | INFO | Auth models configured | models.py:56
2023-02-11T17:50:05.472046-0300 | INFO | Auth configured | views.py:13
2023-02-11T17:50:05.474046-0300 | INFO | Catalog configured | views.py:12
2023-02-11T17:50:05.474046-0300 | INFO | App started | main.py:32
